Year,NF_1,NF_2,NF_3
1906,149314.0,149314.0,149314.0
1907,189603.0,189603.0,189603.0
1908,91389.0,91389.0,91389.0
1909,165939.0,165939.0,165939.0
1910,76252.0,76252.0,76252.0
1911,100666.0,100666.0,100666.0
1912,152613.0,152613.0,152613.0
1913,105020.0,105020.0,105020.0
1914,181327.0,181327.0,181327.0
1915,146191.0,146191.0,146191.0
1916,122891.0,122891.0,122891.0
1917,157273.0,157273.0,157273.0
1918,135126.0,135126.0,135126.0
1919,90051.0,90051.0,90051.0
1920,137385.0,137385.0,137385.0
1921,178934.0,178934.0,178934.0
1922,83579.0,83579.0,83579.0
1923,188992.0,188992.0,188992.0
1924,157746.0,157746.0,157746.0
1925,84043.0,84043.0,84043.0
1926,166220.0,166220.0,166220.0
1927,116769.0,116769.0,116769.0
1928,131669.0,131669.0,131669.0
1929,118332.0,118332.0,118332.0
1930,101924.0,101924.0,101924.0
1931,88438.0,88438.0,88438.0
1932,95030.0,95030.0,95030.0
1933,130106.0,130106.0,130106.0
1934,82775.0,82775.0,82775.0
1935,120467.0,120467.0,120467.0
1936,139578.0,139578.0,139578.0
1937,101750.0,101750.0,101750.0
1938,147258.0,147258.0,147258.0
1939,88014.0,88014.0,88014.0
1940,82216.0,82216.0,82216.0
1941,117055.0,117055.0,117055.0
1942,164776.0,164776.0,164776.0
1943,127189.0,127189.0,127189.0
1944,111068.0,111068.0,111068.0
1945,121641.0,121641.0,121641.0
1946,87482.0,87482.0,87482.0
1947,168106.0,168106.0,168106.0
1948,97202.0,97202.0,97202.0
1949,156130.0,156130.0,156130.0
1950,90694.0,90694.0,90694.0
1951,146893.0,146893.0,146893.0
1952,155956.0,155956.0,155956.0
1953,92631.0,92631.0,92631.0
1954,50159.0,50159.0,50159.0
1955,72362.0,72362.0,72362.0
1956,81751.0,81751.0,81751.0
1957,186659.0,186659.0,186659.0
1958,104350.0,104350.0,104350.0
1959,109542.0,109542.0,109542.0
1960,98423.0,98423.0,98423.0
1961,128129.0,128129.0,128129.0
1962,87655.0,87655.0,87655.0
1963,80636.0,80636.0,80636.0
1964,66100.0,66100.0,66100.0
1965,139277.0,139277.0,139277.0
1966,54837.0,54837.0,54837.0
1967,105513.0,105513.0,105513.0
1968,87466.0,87466.0,87466.0
1969,176038.0,176038.0,176038.0
1970,125580.0,125580.0,125580.0
1971,133536.0,133536.0,133536.0
1972,94514.0,94514.0,94514.0
1973,132203.0,132203.0,132203.0
1974,100168.0,100168.0,100168.0
1975,121000.0,121000.0,121000.0
1976,81623.0,81623.0,81623.0
1977,64023.0,64023.0,64023.0
1978,133230.0,133230.0,133230.0
1979,154206.0,154206.0,154206.0
1980,178824.0,178824.0,178824.0
1981,64145.0,64145.0,64145.0
1982,126776.0,126776.0,126776.0
1983,176515.0,176515.0,176515.0
1984,174671.0,174671.0,174671.0
1985,107155.0,107155.0,107155.0
1986,143784.0,143784.0,143784.0
1987,103297.0,103297.0,103297.0
1988,97519.0,97519.0,97519.0
1989,92790.0,92790.0,92790.0
1990,126911.0,126911.0,126911.0
1991,120178.0,120178.0,120178.0
1992,100979.0,100979.0,100979.0
1993,133657.0,133657.0,133657.0
1994,100664.0,100664.0,100664.0
1995,121870.0,121870.0,121870.0
1996,133041.0,133041.0,133041.0
1997,162513.0,162513.0,162513.0
1998,93581.0,93581.0,93581.0
1999,113190.0,113190.0,113190.0
2000,97842.0,97842.0,97842.0
2001,98705.0,98705.0,98705.0
2002,72425.0,72425.0,72425.0
2003,111159.0,111159.0,111159.0
2004,77271.0,77271.0,77271.0
2005,114407.0,114407.0,114407.0
2006,103538.0,103538.0,103538.0
2007,99127.0,99127.0,99127.0
2008,121550.0,121550.0,121550.0
2009,136311.0,136311.0,136311.0
2010,114742.0,114742.0,114742.0
2011,168676.0,168676.0,168676.0
2012,72469.0,72469.0,72469.0
2013,117663.0,117663.0,117663.0
2014,142382.0,142382.0,142382.0
2015,106362.0,106362.0,106362.0
2016,113000.0,113000.0,113000.0
2017,135174.0,135174.0,135174.0
2018,80309.0,80309.0,80309.0
2019,134686.0,134686.0,134686.0
2020,103213.0,103213.0,103213.0
